Thu Sep 20 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Mon Feb 23 05:00:00 +0000 2015, 4595814, 1820350, 2807476, 1310355, 1137477, 762683
Sat Mar 28 04:00:00 +0000 2015, 4852287, 1950636, 2971950, 1072762, 1178923, 1261653
Tue May 26 04:00:00 +0000 2015, 3876596, 1388204, 2292865, 922065, 801555, 632379
Fri Aug 24 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Oct 22 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Sat Nov 23 05:00:00 +0000 2013, 4703753, 1252306, 2582980, 613275, 417203, 778821
Tue Jan 27 05:00:00 +0000 2015, 4449919, 1665045, 2684072, 1166167, 647575, 701622
Wed Apr 29 04:00:00 +0000 2015, 4312345, 1608157, 2551058, 1207312, 943146, 705649
Sat Feb 28 05:00:00 +0000 2015, 4457694, 1756722, 2742631, 1170382, 1104336, 757881
Thu Apr 2 04:00:00 +0000 2015, 4502851, 1695132, 2757014, 1143367, 1011712, 814589
Sun May 31 04:00:00 +0000 2015, 3430207, 1216479, 2017040, 738824, 735117, 668155
Thu Nov 28 05:00:00 +0000 2013, 4291139, 1119987, 2339702, 633085, 366698, 640399
Sun Feb 1 05:00:00 +0000 2015, 4981205, 1982297, 3071857, 1160279, 1161755, 793935
Mon May 4 04:00:00 +0000 2015, 4379816, 1644510, 2636301, 1180799, 1004119, 736107
Sun Sep 30 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Thu Mar 5 05:00:00 +0000 2015, 4577154, 1867174, 2835636, 1357093, 1202149, 764922
Fri Jul 1 04:00:00 +0000 2011, 1, 0, 0, 0, 0, 1
Tue Dec 3 05:00:00 +0000 2013, 4340450, 1176694, 2392663, 678166, 360380, 683001
Fri Feb 6 05:00:00 +0000 2015, 4338188, 1658475, 2616929, 1178060, 931346, 721405
Sat May 9 04:00:00 +0000 2015, 4011445, 1424997, 2334541, 950475, 844696, 667107
Wed Nov 6 05:00:00 +0000 2013, 4302565, 1098467, 2345078, 631946, 333366, 618227
Sun Dec 8 05:00:00 +0000 2013, 4663947, 1309401, 2626864, 611498, 440148, 670241
Wed Feb 11 05:00:00 +0000 2015, 4383623, 1651995, 2640813, 1203103, 990743, 712998
Mon Mar 10 04:00:00 +0000 2014, 4391628, 1333487, 2475493, 797137, 564378, 671174
Thu May 14 04:00:00 +0000 2015, 3966828, 1441685, 2351293, 1007414, 842568, 647696
Wed Oct 10 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Nov 11 05:00:00 +0000 2013, 4399863, 1156040, 2437447, 637057, 354334, 584927
Fri Dec 13 05:00:00 +0000 2013, 4088265, 1057805, 2259319, 608743, 349238, 577285
Sat Mar 15 04:00:00 +0000 2014, 4443551, 1362470, 2564658, 770612, 601973, 702042
Tue May 19 04:00:00 +0000 2015, 3893883, 1413073, 2310883, 945986, 810169, 626013
Mon Oct 15 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Sat Nov 16 05:00:00 +0000 2013, 4399241, 1135863, 2433029, 607131, 372082, 640076
Tue Jan 14 05:00:00 +0000 2014, 4150812, 1155083, 2329262, 665025, 443852, 506959
Wed Dec 18 05:00:00 +0000 2013, 4364235, 1175136, 2424439, 671544, 374166, 580383
Thu Mar 20 04:00:00 +0000 2014, 4497928, 1384621, 2582644, 803669, 586466, 698128
Thu Nov 21 05:00:00 +0000 2013, 4264165, 1111718, 2344712, 652855, 336172, 628810
Sun Jan 19 05:00:00 +0000 2014, 4520329, 1285938, 2563114, 658752, 529732, 564872
Mon Apr 21 04:00:00 +0000 2014, 4493012, 1471964, 2633347, 755928, 647848, 672601
Mon Dec 23 05:00:00 +0000 2013, 4626317, 1254841, 2594653, 682462, 436165, 603188
Tue Mar 25 04:00:00 +0000 2014, 4495083, 1434232, 2628442, 733523, 600040, 692193
Fri Jan 24 05:00:00 +0000 2014, 4179186, 1151455, 2330872, 701764, 475632, 545396
Sat Apr 26 04:00:00 +0000 2014, 4260275, 1390362, 2489005, 665427, 658032, 633488
Sat Dec 28 05:00:00 +0000 2013, 4395505, 1175257, 2487106, 613192, 412999, 582048
Sun Mar 30 04:00:00 +0000 2014, 4820979, 1608537, 2867200, 680496, 676634, 712020
Wed Jan 29 05:00:00 +0000 2014, 4407765, 1240245, 2463657, 760848, 486141, 560711
Thu May 1 04:00:00 +0000 2014, 4369629, 1423748, 2563399, 733871, 661879, 667008
Wed Sep 28 04:00:00 +0000 2011, 1, 0, 1, 0, 0, 0
Thu Jan 2 05:00:00 +0000 2014, 4532981, 1252609, 2594119, 630794, 443741, 522188
Sun Mar 2 05:00:00 +0000 2014, 4698275, 1492946, 2681726, 707949, 671659, 764184
Fri Apr 4 04:00:00 +0000 2014, 4443450, 1388257, 2555248, 832663, 617594, 701568
Mon Feb 3 05:00:00 +0000 2014, 4360842, 1256095, 2479036, 662612, 499323, 575360
Tue May 6 04:00:00 +0000 2014, 4400825, 1423640, 2560778, 748073, 652841, 681901
Tue Jan 7 05:00:00 +0000 2014, 4440737, 1234945, 2505686, 653515, 419282, 560397
Fri Mar 7 05:00:00 +0000 2014, 4243044, 1252050, 2385598, 763359, 536441, 643070
Wed Apr 9 04:00:00 +0000 2014, 4391557, 1398671, 2521780, 739528, 601927, 710206
Sat Feb 8 05:00:00 +0000 2014, 4417686, 1272105, 2502119, 673908, 568958, 585937
Sun May 11 04:00:00 +0000 2014, 4556983, 1542504, 2693603, 710018, 733379, 679215
Mon Apr 14 04:00:00 +0000 2014, 4366096, 1432577, 2543946, 755723, 624905, 652326
Thu Jun 12 04:00:00 +0000 2014, 4794889, 1570132, 2786395, 810107, 724085, 747204
Sun Sep 11 04:00:00 +0000 2011, 1, 0, 0, 0, 0, 0
Mon Dec 10 05:00:00 +0000 2012, 1, 0, 1, 0, 0, 0
